,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
0,-0.8225,03/25/18,0.35,0.65,0.0,CBSNews,"President Trump’s lawyers are threatening Stormy Daniels with financial ruin, saying she has to pay $1M every time… https://t.co/ghkMl4aQml"
1,0.3036,03/25/18,0.074,0.798,0.129,CBSNews,"In his Palm Sunday address, Pope Francis encourages youth to ""shout"" and not allow older generations to silence the… https://t.co/RabVvUObF1"
2,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Tonight on @60Minutes, Stormy Daniels tells @andersoncooper about her alleged affair with Mr. Trump and the “hush a… https://t.co/chiscYaFnm"
3,-0.296,03/25/18,0.115,0.885,0.0,CBSNews,"“We’re trying to get people to stop dying."" - @Emma4Change
Survivors of the #Parkland school shooting turned their… https://t.co/tslzcYzuEW"
4,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Tonight on @60Minutes, meet Milwaukee @Bucks star @Giannis_An34. Steve Kroft reports on the 23-year-old whose perso… https://t.co/rgNcvlMv5b"
5,-0.4019,03/25/18,0.135,0.802,0.063,CBSNews,"A man named ""Mad Mike"" Hughes launched himself in a self-made rocket 1,875 feet above the desert to try and prove h… https://t.co/9nj3PZ3TOr"
6,0.4939,03/25/18,0.0,0.873,0.127,CBSNews,"""This was all because of the courage and effort of a handful of 15 and 16 year olds who took the responsibility tha… https://t.co/0JMHAum1v1"
7,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Adult film star and director Stormy Daniels talks to @andersoncooper about the affair she says she had with Donald… https://t.co/O8NidSf1iy
8,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"The world's first-ever statue of rock legend David Bowie was unveiled in Aylesbury, England –– two years after his… https://t.co/DArK4rFb19"
9,-0.7717,03/25/18,0.358,0.642,0.0,CBSNews,"Car bomb kills 5, including driver, near parliament in Somalia capital Mogadishu https://t.co/dkbfv3SDLY https://t.co/Uy0JY7Bf2G"
10,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Marjory Stoneman Douglas student Kyle Kashuv calls for ""common middle ground"" on guns https://t.co/Je7WaR2kgP https://t.co/z3n95zVu6k"
11,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Don Imus: The sun sets on his morning radio show (via @CBSSunday) https://t.co/lFbeKmBSQr https://t.co/XEq3gw9UNU
12,0.0772,03/25/18,0.0,0.925,0.075,CBSNews,"Marjory Stoneman Douglas students reflect on March for Our Lives, what they want from politicians (via… https://t.co/A3tcCqxUxn"
13,-0.8834,03/25/18,0.377,0.623,0.0,CBSNews,"Sen. Mark Warner on past vote against assault weapons ban: ""I think it's time to change our positions"" (via… https://t.co/ofrBp2hxYP"
14,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"WATCH: A giant robotic T-Rex goes up in flames, only leaving behind a charred skeleton. https://t.co/8wRYBFoUsk"
15,-0.1816,03/25/18,0.087,0.913,0.0,CBSNews,"Sen. Joni Ernst: ""Status quo is not OK"" on school shootings, but stands by Second Amendment (via @FaceTheNation)… https://t.co/nHjXlbZkAG"
16,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Five Parkland student activists joined @FaceTheNation to discuss March for Our Lives and why they think their movem… https://t.co/89JlZx8mX7
17,0.128,03/25/18,0.0,0.889,0.111,CBSNews,"Lawyers Joseph diGenova, Victoria Toensing not joining Trump's Russia legal team https://t.co/vJWKjmO8vj https://t.co/9QzYIDGcb2"
18,0.25,03/25/18,0.0,0.917,0.083,CBSNews,A colossal Key Lime pie the size of a kiddie pool was created in the middle of a shopping mall -- and it has a purp… https://t.co/p7XUIJ7LJN
19,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Women across the country are running for political office at all levels, to take control of their political destini… https://t.co/cmnbY71rzr"
20,-0.8225,03/25/18,0.35,0.65,0.0,CBSNews,"President Trump’s lawyers are threatening Stormy Daniels with financial ruin, saying she has to pay $1M every time… https://t.co/ghkMl4aQml"
21,0.3036,03/25/18,0.074,0.798,0.129,CBSNews,"In his Palm Sunday address, Pope Francis encourages youth to ""shout"" and not allow older generations to silence the… https://t.co/RabVvUObF1"
22,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Tonight on @60Minutes, Stormy Daniels tells @andersoncooper about her alleged affair with Mr. Trump and the “hush a… https://t.co/chiscYaFnm"
23,-0.296,03/25/18,0.115,0.885,0.0,CBSNews,"“We’re trying to get people to stop dying."" - @Emma4Change
Survivors of the #Parkland school shooting turned their… https://t.co/tslzcYzuEW"
24,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Tonight on @60Minutes, meet Milwaukee @Bucks star @Giannis_An34. Steve Kroft reports on the 23-year-old whose perso… https://t.co/rgNcvlMv5b"
25,-0.4019,03/25/18,0.135,0.802,0.063,CBSNews,"A man named ""Mad Mike"" Hughes launched himself in a self-made rocket 1,875 feet above the desert to try and prove h… https://t.co/9nj3PZ3TOr"
26,0.4939,03/25/18,0.0,0.873,0.127,CBSNews,"""This was all because of the courage and effort of a handful of 15 and 16 year olds who took the responsibility tha… https://t.co/0JMHAum1v1"
27,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Adult film star and director Stormy Daniels talks to @andersoncooper about the affair she says she had with Donald… https://t.co/O8NidSf1iy
28,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"The world's first-ever statue of rock legend David Bowie was unveiled in Aylesbury, England –– two years after his… https://t.co/DArK4rFb19"
29,-0.7717,03/25/18,0.358,0.642,0.0,CBSNews,"Car bomb kills 5, including driver, near parliament in Somalia capital Mogadishu https://t.co/dkbfv3SDLY https://t.co/Uy0JY7Bf2G"
30,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Marjory Stoneman Douglas student Kyle Kashuv calls for ""common middle ground"" on guns https://t.co/Je7WaR2kgP https://t.co/z3n95zVu6k"
31,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Don Imus: The sun sets on his morning radio show (via @CBSSunday) https://t.co/lFbeKmBSQr https://t.co/XEq3gw9UNU
32,0.0772,03/25/18,0.0,0.925,0.075,CBSNews,"Marjory Stoneman Douglas students reflect on March for Our Lives, what they want from politicians (via… https://t.co/A3tcCqxUxn"
33,-0.8834,03/25/18,0.377,0.623,0.0,CBSNews,"Sen. Mark Warner on past vote against assault weapons ban: ""I think it's time to change our positions"" (via… https://t.co/ofrBp2hxYP"
34,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"WATCH: A giant robotic T-Rex goes up in flames, only leaving behind a charred skeleton. https://t.co/8wRYBFoUsk"
35,-0.1816,03/25/18,0.087,0.913,0.0,CBSNews,"Sen. Joni Ernst: ""Status quo is not OK"" on school shootings, but stands by Second Amendment (via @FaceTheNation)… https://t.co/nHjXlbZkAG"
36,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Five Parkland student activists joined @FaceTheNation to discuss March for Our Lives and why they think their movem… https://t.co/89JlZx8mX7
37,0.128,03/25/18,0.0,0.889,0.111,CBSNews,"Lawyers Joseph diGenova, Victoria Toensing not joining Trump's Russia legal team https://t.co/vJWKjmO8vj https://t.co/9QzYIDGcb2"
38,0.25,03/25/18,0.0,0.917,0.083,CBSNews,A colossal Key Lime pie the size of a kiddie pool was created in the middle of a shopping mall -- and it has a purp… https://t.co/p7XUIJ7LJN
